chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
jfreechart\src,src,256412,124416,0.4852191005101165,20680,2.3463206020798673E-5
jfreechart\src\main,main,191710,100367,0.5235355484846904,17636,2.9685617401037106E-5
jfreechart\src\main\java,java,191710,100367,0.5235355484846904,17636,2.9685617401037106E-5
jfreechart\src\main\java\org,org,191667,100364,0.5236373501959127,17636,2.9691389782031796E-5
jfreechart\src\main\java\org\jfree,jfree,191667,100364,0.5236373501959127,17636,2.9691389782031796E-5
jfreechart\src\main\java\org\jfree\chart,chart,145092,73399,0.5058790284784827,13571,3.727647398706673E-5
jfreechart\src\main\java\org\jfree\chart\annotations,annotations,5642,2906,0.5150655795817086,458,0.0011245973353312415
jfreechart\src\main\java\org\jfree\chart\api,api,1359,835,0.6144223693892568,114,0.005389669906923305
jfreechart\src\main\java\org\jfree\chart\axis,axis,17608,8353,0.4743866424352567,1714,2.7677167003223844E-4
jfreechart\src\main\java\org\jfree\chart\block,block,4980,2593,0.5206827309236948,449,0.0011596497347966476
jfreechart\src\main\java\org\jfree\chart\date,date,1330,784,0.5894736842105263,172,0.0034271725826193387
jfreechart\src\main\java\org\jfree\chart\encoders,encoders,745,525,0.7046979865771812,36,0.019574944071588368
jfreechart\src\main\java\org\jfree\chart\entity,entity,2581,1575,0.6102285935683843,207,0.0029479642201371225
jfreechart\src\main\java\org\jfree\chart\event,event,1136,934,0.8221830985915493,46,0.01787354562155542
jfreechart\src\main\java\org\jfree\chart\imagemap,imagemap,652,460,0.7055214723926381,36,0.019597818677573278
jfreechart\src\main\java\org\jfree\chart\internal,internal,2147,977,0.4550535631113181,217,0.002097021028162756
jfreechart\src\main\java\org\jfree\chart\labels,labels,5475,3299,0.6025570776255708,403,0.00149517885266891
jfreechart\src\main\java\org\jfree\chart\legend,legend,3356,1704,0.5077473182359953,322,0.0015768550255776251
jfreechart\src\main\java\org\jfree\chart\plot,plot,37997,18820,0.4953022607047925,3833,1.292205219683779E-4
jfreechart\src\main\java\org\jfree\chart\plot\compass,compass,2333,1176,0.5040720102871838,202,0.002495405991520712
jfreechart\src\main\java\org\jfree\chart\plot\dial,dial,5544,3082,0.5559163059163059,508,0.001094323436843122
jfreechart\src\main\java\org\jfree\chart\plot\flow,flow,759,303,0.39920948616600793,77,0.005184538781376726
jfreechart\src\main\java\org\jfree\chart\plot\pie,pie,4333,2103,0.4853450265405031,410,0.0011837683574158612
jfreechart\src\main\java\org\jfree\chart\renderer,renderer,36587,17786,0.48612895290677016,3457,1.4062162363516638E-4
jfreechart\src\main\java\org\jfree\chart\renderer\category,category,12580,5991,0.4762321144674086,1175,4.053039272063052E-4
jfreechart\src\main\java\org\jfree\chart\renderer\xy,xy,18269,8646,0.47326071487218785,1675,2.825437103714554E-4
jfreechart\src\main\java\org\jfree\chart\swing,swing,8383,3935,0.46940236192293927,794,5.911868538072283E-4
jfreechart\src\main\java\org\jfree\chart\swing\editor,editor,3421,1548,0.45249926921952643,247,0.0018319808470426172
jfreechart\src\main\java\org\jfree\chart\text,text,3206,1707,0.53243917654398,290,0.0018359971604964827
jfreechart\src\main\java\org\jfree\chart\text\format,format,968,565,0.5836776859504132,84,0.0069485438803620625
jfreechart\src\main\java\org\jfree\chart\title,title,2130,1052,0.49389671361502346,221,0.00223482675843902
jfreechart\src\main\java\org\jfree\chart\urls,urls,1557,952,0.6114322414900449,124,0.004930905173306814
jfreechart\src\main\java\org\jfree\chart\util,util,1676,921,0.5495226730310262,98,0.005607374214602308
jfreechart\src\main\java\org\jfree\data,data,46575,26965,0.5789586688137413,4065,1.4242525678074815E-4
jfreechart\src\main\java\org\jfree\data\category,category,2018,1165,0.5773042616451932,189,0.0030545199028846203
jfreechart\src\main\java\org\jfree\data\flow,flow,967,560,0.5791106514994829,81,0.0071495142160429995
jfreechart\src\main\java\org\jfree\data\function,function,542,366,0.6752767527675276,40,0.016881918819188192
jfreechart\src\main\java\org\jfree\data\gantt,gantt,2268,1277,0.5630511463844797,201,0.002801249484499899
jfreechart\src\main\java\org\jfree\data\general,general,5118,2845,0.5558812035951544,453,0.001227110824713365
jfreechart\src\main\java\org\jfree\data\io,io,186,95,0.510752688172043,12,0.04256272401433692
jfreechart\src\main\java\org\jfree\data\json,json,915,489,0.5344262295081967,82,0.006517393042782887
jfreechart\src\main\java\org\jfree\data\json\impl,impl,724,401,0.5538674033149171,71,0.007800949342463621
jfreechart\src\main\java\org\jfree\data\resources,resources,369,297,0.8048780487804879,12,0.06707317073170732
jfreechart\src\main\java\org\jfree\data\statistics,statistics,5745,3122,0.5434290687554395,487,0.0011158707777319085
jfreechart\src\main\java\org\jfree\data\time,time,11019,6061,0.55004991378528,1072,5.13106262859403E-4
jfreechart\src\main\java\org\jfree\data\time\ohlc,ohlc,854,520,0.6088992974238876,75,0.008118657298985168
jfreechart\src\main\java\org\jfree\data\xml,xml,1147,703,0.6129032258064516,78,0.007857733664185277
jfreechart\src\main\java\org\jfree\data\xy,xy,11546,7241,0.6271435995149836,941,6.664650366790474E-4
jfreechart\src\test,test,64702,24049,0.371688664956261,3044,1.221053432839228E-4
jfreechart\src\test\java,java,64702,24049,0.371688664956261,3044,1.221053432839228E-4
jfreechart\src\test\java\org,org,64702,24049,0.371688664956261,3044,1.221053432839228E-4
jfreechart\src\test\java\org\jfree,jfree,64702,24049,0.371688664956261,3044,1.221053432839228E-4
jfreechart\src\test\java\org\jfree\chart,chart,40340,15557,0.3856470004957858,1795,2.148451256243932E-4
jfreechart\src\test\java\org\jfree\chart\annotations,annotations,2037,833,0.40893470790378006,94,0.004350369233018936
jfreechart\src\test\java\org\jfree\chart\api,api,87,41,0.47126436781609193,2,0.23563218390804597
jfreechart\src\test\java\org\jfree\chart\axis,axis,5087,1888,0.3711421269903676,198,0.0018744551868200383
jfreechart\src\test\java\org\jfree\chart\block,block,2012,757,0.37624254473161034,66,0.005700644617145611
jfreechart\src\test\java\org\jfree\chart\entity,entity,809,379,0.4684796044499382,32,0.014639987639060568
jfreechart\src\test\java\org\jfree\chart\imagemap,imagemap,348,230,0.6609195402298851,14,0.04720853858784894
jfreechart\src\test\java\org\jfree\chart\internal,internal,539,264,0.4897959183673469,27,0.018140589569160998
jfreechart\src\test\java\org\jfree\chart\labels,labels,2503,1133,0.452656811825809,122,0.003710301736277123
jfreechart\src\test\java\org\jfree\chart\legend,legend,485,180,0.3711340206185567,16,0.023195876288659795
jfreechart\src\test\java\org\jfree\chart\plot,plot,10117,3421,0.33814371849362457,413,8.187499237133766E-4
jfreechart\src\test\java\org\jfree\chart\plot\compass,compass,885,518,0.5853107344632769,44,0.0133025166923472
jfreechart\src\test\java\org\jfree\chart\plot\dial,dial,1739,733,0.4215066129959747,69,0.006108791492695285
jfreechart\src\test\java\org\jfree\chart\plot\flow,flow,242,62,0.256198347107438,15,0.017079889807162532
jfreechart\src\test\java\org\jfree\chart\plot\pie,pie,875,240,0.2742857142857143,35,0.00783673469387755
jfreechart\src\test\java\org\jfree\chart\renderer,renderer,10270,3840,0.373904576436222,555,6.737019395247243E-4
jfreechart\src\test\java\org\jfree\chart\renderer\category,category,3770,1431,0.3795755968169761,201,0.0018884358050595827
jfreechart\src\test\java\org\jfree\chart\renderer\xy,xy,4844,1836,0.3790255986787779,237,0.0015992641294463202
jfreechart\src\test\java\org\jfree\chart\swing,swing,417,161,0.38609112709832133,24,0.016087130295763388
jfreechart\src\test\java\org\jfree\chart\text,text,347,152,0.43804034582132567,16,0.027377521613832854
jfreechart\src\test\java\org\jfree\chart\text\format,format,347,152,0.43804034582132567,16,0.027377521613832854
jfreechart\src\test\java\org\jfree\chart\title,title,675,371,0.5496296296296296,34,0.01616557734204793
jfreechart\src\test\java\org\jfree\chart\urls,urls,785,371,0.4726114649681529,39,0.0121182426914911
jfreechart\src\test\java\org\jfree\data,data,24362,8492,0.34857565060339873,1249,2.790837875127292E-4
jfreechart\src\test\java\org\jfree\data\category,category,1189,349,0.29352396972245587,53,0.005538188107970865
jfreechart\src\test\java\org\jfree\data\flow,flow,282,155,0.549645390070922,15,0.03664302600472813
jfreechart\src\test\java\org\jfree\data\function,function,388,212,0.5463917525773195,23,0.023756163155535633
jfreechart\src\test\java\org\jfree\data\gantt,gantt,1073,348,0.32432432432432434,46,0.007050528789659225
jfreechart\src\test\java\org\jfree\data\general,general,2535,887,0.34990138067061144,157,0.002228671214462493
jfreechart\src\test\java\org\jfree\data\statistics,statistics,2310,834,0.36103896103896105,101,0.003574643178603575
jfreechart\src\test\java\org\jfree\data\time,time,7794,2449,0.3142160636386964,422,7.445878285277166E-4
jfreechart\src\test\java\org\jfree\data\time\ohlc,ohlc,665,267,0.40150375939849625,34,0.011808934099955773
jfreechart\src\test\java\org\jfree\data\xy,xy,5944,2270,0.38189771197846567,290,0.0013168886619947093
jfreechart,jfreechart,256412,124416,0.4852191005101165,20680,2.3463206020798673E-5
